0.0077942,800.34,51,39.277,39.277,5.2367e-05,47.457,60.06,12.603,69.874,77.106,7.232
0.0077942,832.03,52,40.173,40.174,0.00023171,48.254,61.118,12.864,69.874,78.072,8.1979
0.0077942,864.34,53,40.556,40.556,0.00023625,49.044,62.164,13.12,69.874,79.046,9.1722
0.0077942,897.26,54,40.766,40.766,3.7252e-05,49.827,63.196,13.37,69.874,80.028,10.154
0.0077942,930.8,55,40.948,40.947,0.00017365,50.602,64.211,13.609,69.874,81.017,11.143
0.0077942,964.96,56,41.365,41.365,4.9652e-05,51.371,65.204,13.833,69.874,82.012,12.138
0.0077942,999.73,57,41.421,41.421,7.2771e-05,52.132,66.167,14.034,69.874,83.013,13.139
0.0077942,1035.1,58,41.72,41.72,0.00013779,52.886,67.084,14.198,69.874,84.019,14.145
0.0077942,1071.1,59,42.567,42.567,0.00025848,53.633,67.913,14.281,69.874,85.03,15.156
0.0077942,1107.7,60,41.619,41.619,0.00017241,54.372,68.541,14.169,69.874,86.045,16.17
0.0077942,1145,61,41.866,41.866,4.0343e-05,55.104,69.137,14.034,70.877,87.063,16.186
0.0077942,1182.8,62,42.502,42.502,0.00013788,55.828,69.734,13.907,71.911,88.085,16.173
0.0077942,1221.3,63,43.451,43.451,2.8672e-05,56.545,69.874,13.33,72.939,89.109,16.17
0.0077942,1260.4,64,42.969,42.969,0.00013453,57.254,69.874,12.62,73.96,90.135,16.176
0.0077942,1300,65,43.509,43.509,4.8652e-05,57.956,69.874,11.918,74.975,91.164,16.189
0.0077942,1340.4,66,43.292,43.292,1.8144e-05,58.65,69.874,11.224,75.983,92.194,16.211
0.0077942,1381.3,67,42.947,42.947,5.9681e-05,59.337,69.874,10.538,76.985,93.225,16.24
0.0077942,1422.8,68,44.596,44.596,0.00018383,60.016,69.874,9.8585,77.981,94.257,16.277
0.0077942,1465,69,44.229,44.229,4.27e-06,60.687,69.874,9.187,78.969,95.29,16.321
0.0077942,1507.7,70,43.474,43.474,3.0899e-05,61.351,69.874,8.5231,79.951,96.323,16.372
0.0077942,1551.1,71,44.934,44.934,1.7248e-05,62.007,69.874,7.8667,80.926,97.356,16.43
0.0077942,1595.1,72,43.331,43.331,1.1746e-05,62.656,69.874,7.218,81.894,98.389,16.494
0.0077942,1639.8,73,43.709,43.71,0.00018173,63.297,69.874,6.5768,82.856,99.421,16.565
0.0077942,1685,74,43.497,43.497,6.0042e-06,63.931,69.874,5.9432,83.81,100.45,16.642
0.0077942,1730.8,75,44.595,44.595,3.3431e-05,64.557,69.874,5.3172,84.757,101.48,16.726
0.0077942,1777.3,76,43.874,43.874,3.4867e-05,65.176,69.874,4.6987,85.696,102.51,16.815
